iteration,time_(s),algorithm
23,0.03,linear
24,0.03,linear
25,0.03,linear
26,0.02,linear
27,0.03,linear
28,0.03,linear
29,0.03,linear
30,0.03,linear
31,0.02,linear
32,0.03,linear
33,0.03,linear
34,0.02,linear
35,0.03,linear
36,0.03,linear
37,0.02,linear
38,0.03,linear
39,0.02,linear
40,0.03,linear
41,0.03,linear
42,0.04,linear
43,0.02,linear
44,0.03,linear
23,0.04,exp_index
24,0.04,exp_index
25,0.06,exp_index
26,0.07,exp_index
27,0.1,exp_index
28,0.14,exp_index
29,0.22,exp_index
30,0.32,exp_index
31,0.52,exp_index
32,0.83,exp_index
33,1.27,exp_index
34,2.07,exp_index
35,3.33,exp_index
36,5.47,exp_index
37,8.47,exp_index
38,14.1,exp_index
39,22.53,exp_index
40,35.86,exp_index
41,59.04,exp_index
42,94.18,exp_index
43,154.17,exp_index
44,248.35,exp_index
23,0.05,exp_max()_iter
24,0.06,exp_max()_iter
25,0.08,exp_max()_iter
26,0.13,exp_max()_iter
27,0.18,exp_max()_iter
28,0.3,exp_max()_iter
29,0.46,exp_max()_iter
30,0.74,exp_max()_iter
31,1.21,exp_max()_iter
32,1.98,exp_max()_iter
33,3.23,exp_max()_iter
34,5.29,exp_max()_iter
35,8.58,exp_max()_iter
36,14.03,exp_max()_iter
37,23.23,exp_max()_iter
38,37.58,exp_max()_iter
39,63.19,exp_max()_iter
40,105.64,exp_max()_iter
41,167.78,exp_max()_iter
42,278.56,exp_max()_iter
